A3511,"A3511 Magnesium Chloride Solution, 1.5ml",1.5ml,EA,28.00,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,A3511,Biochemical Reagents,12-35-22-00,25,41106306,EA,"PRMK,A3511,EA",Promega,UCOP,2014-11-03
A3513,"A3513 Magnesium Chloride Solution, 25ml",25ml,EA,38.40,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,A3513,Biochemical Reagents,12-35-22-00,25,41106306,EA,"PRMK,A3513,EA",Promega,UCOP,2014-11-03
M1941,"M1941 Tfl DNA Polymerase, 100u",100u,EA,43.20,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,M1941,Thermostable DNA Polymerases,12-35-22-04,111,41106314,EA,"PRMK,M1941,EA",Promega,UCOP,2014-11-03
M1945,"M1945 Tfl DNA Polymerase, 1,000u","1,000u",EA,363.20,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,M1945,Thermostable DNA Polymerases,12-35-22-04,111,41106314,EA,"PRMK,M1945,EA",Promega,UCOP,2014-11-03
M2101,"M2101 Tth DNA Polymerase, 100u",100u,EA,76.00,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,M2101,Thermostable DNA Polymerases,12-35-22-04,111,41106314,EA,"PRMK,M2101,EA",Promega,UCOP,2014-11-03
M2105,"M2105 Tth DNA Polymerase, 500u",500u,EA,312.00,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,M2105,Thermostable DNA Polymerases,12-35-22-04,111,41106314,EA,"PRMK,M2105,EA",Promega,UCOP,2014-11-03
M2051,"M2051 DNA Polymerase I, 500u",500u,EA,93.80,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,M2051,DNA Polymerases,12-35-22-04,111,41116133,EA,"PRMK,M2051,EA",Promega,UCOP,2014-11-03
M2055,"M2055 DNA Polymerase I, 2,500u","2,500u",EA,354.20,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,M2055,DNA Polymerases,12-35-22-04,111,41116133,EA,"PRMK,M2055,EA",Promega,UCOP,2014-11-03
M2201,"M2201 DNA Polymerase I Large (Klenow) Fragment, 150u",150u,EA,77.00,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,M2201,DNA Polymerases,12-35-22-04,111,41116133,EA,"PRMK,M2201,EA",Promega,UCOP,2014-11-03
M2206,"M2206 DNA Polymerase I Large (Klenow) Fragment, 500u",500u,EA,186.90,,,,,,True,,PO_n_NotOpenOrder_Suppliers,Promega Corporation,M2206,DNA Polymerases,12-35-22-04,111,41116133,EA,"PRMK,M2206,EA",Promega,UCOP,2014-11-03
